x5,z6,x3,name6,y1,name4,name5,name2,name3,name1,x2,z5,y3,y2,y5,y4,z2,y6,x1,z4,x6,z1,x4,z3
-121.31764533368001,108.5156366471877,-65.267863605646156,Bosch Pension,-373.96400184936238,Alla Lenz,Alexander Wien,Admiral,Ekazent Hietzing,ActiLingua Apartment Hotel Aparthotel  Boardinghouse,41.402856506368252,59.567090271473738,44.627034760953762,-54.255658612429229,35.208681021131611,36.770104855766213,-34.450752439862363,-57.492858212556236,138.06153114715181,-103.61913357554775,-16.410289183643737,-726.28029473884851,117.06336119168198,-21.284317117530787
-253.2090835199642,-218.97338787861946,-11.359417453422029,Cryston,55.662118479662048,Alpha,AllYouNeed Vienna 4,Am Brillantengrund,Europahaus,Adlon,56.668055489036377,112.06039886896984,177.87683935488855,-10.620943423674523,126.2942992900457,-37.071269999499641,-84.170799828285254,163.63266381353947,38.727390990593399,46.706655815046204,-90.830213190555469,-38.765588045592409,207.6131798342343,111.23014496039448
-263.74983011387275,58.609894383618901,10.086829899697726,Graf Stadion,-139.86023211306861,Altwienerhof,AllYouNeed Vienna2,Am Schottenpoint,F rstenhof,Art Hotel Vienna,13.366680190755835,101.46278304074274,64.593648475570063,-114.47794735021179,103.34611414820777,-19.814233270626623,-29.910263152689641,-63.34327202892095,-62.574657120670345,80.922156846900947,-135.92954107413604,37.076895675777806,24.616142452314836,-0.081834449323101299
-16.449905355931051,-38.173841657065083,14.956242922120424,Hotel Pension Bleckmann Pension,-97.290632077064828,Austria,Allegro,An der Wien,Gartenhotel Gabriel,Baron Am Schottentor,33.979547348294858,52.652884031413002,79.134904834606445,-82.77665847618178,63.696131770262788,10.523230246485374,-44.248421295659796,0.84174382431420092,-79.584540815957354,-221.22718503017231,-170.07687802286128,-70.463070840030255,162.0626259775114,-31.790837589721988
-144.07108847677279,197.51263306196597,46.002758589892458,Kaffeem hle,-70.152067859805939,Austria Trend Hotel Messe Wien,Altmann,Austria Classic   Wien,Goldene Spinne,Enziana Hotel Vienna,143.49427182766314,35.288830427637819,206.47698549100397,-151.07563761163186,202.75251323635175,-10.109212198816403,-120.55135261089866,-43.158329558733008,128.18409772595101,18.532779302054202,-7.4843523156465119,144.83246701572236,53.479206082377679,194.24502941866643
-211.67765305222164,-11.815025124385453,66.179164963607676,Kreiner,168.08387698326581,Bajazzo,Apartment24   Schoenbrunn Ferienwhg ,Austria Trend beim Theresianum Wien,Hoffinger,HB1 Wien Sch nbrunn,82.454598026495148,167.31318429302729,-2.7333670859026382,-10.849090268632246,279.84866223345011,-109.39487572715022,-19.748494875757459,-59.68819924648831,53.434119396063885,95.336163726082987,-106.35986690572665,-140.30104470629882,24.715019667504876,152.10200662010695
-34.928439428085575,121.10962380360219,35.981862827547666,Meininger Wien Downtown Franz,-29.898203806598417,Bergwirt,Arpi,Boutiquehotel Stadthalle,Jufa Wien City,Hotel F rst Metternich,192.78337539723213,117.50986651775622,174.55833515370429,-130.42382563790943,136.57292650364917,-72.684039223335702,-77.97275201983112,-146.57807235607444,15.307202426770104,2.5026344520370687,-83.388531357196683,20.986002414161032,-27.726163586499482,57.796032367591081
-43.511623316633234,99.978075789219375,88.52430268041924,Meininger Wien Downtown Sissi,-114.62052488939086,Der Stasta,Carina,Carlton Opera,Meininger Wien Hauptbahnhof,Klimt,18.414614094549776,22.496143289044102,93.108980707890069,-47.680011301544347,84.4454366560268,-134.84133444128972,-39.813684231827786,-86.426152895191123,-38.115782355379963,87.508872685527223,-71.395257951979715,-61.673760520509482,-1.7102905973854901,68.461978944525384
-15.070776345385429,-0.24695990825413267,-7.1839435035263977,Motel One Wien Prater,-66.096001282525663,Gal Apartments Vienna Ferienwhg ,Caroline,Clima Cityhotel,Mocca,Motel One Wien Hauptbahnhof,27.53323625125919,16.403218067041635,83.370274826948645,-34.127270290029557,27.707980987257244,131.44825806324641,-21.486891850307025,-63.78841139389084,-33.942407544020355,34.041370441346942,-159.70531381656269,39.479986129230284,215.68992608927769,41.133737719512695
-161.50761344210852,61.170731664271543,48.239046517142448,Motel One Wien Westbahnhof,-19.162186467569125,Haydn,Donaustadt Kagran,Das Capri,Novum Cristall Wien Messe,Prager Asperner L we,259.90058121712872,11.127424096003555,82.294931720057392,-182.21598434182255,52.38412198606931,10.854843765305688,-43.984120153873292,-67.942269475854729,-11.31721180495952,-21.696241109114045,-111.11110260397899,-6.292294397281041,17.167744578461924,109.1179720596954
-20.730982324222364,-121.60636208362217,-48.287008226274772,Pharmador B B,-107.91434865329217,Kunsthof,Donauwalzer Wien,Drei Kronen Wien City,Papageno,Schneider G ssl,47.793672507358608,-11.184012569860858,68.719701764918369,-110.73517618767985,82.226028520725237,31.307829852046957,-80.014734565542625,76.221922532454471,-141.85149727566363,-102.08054045890636,-156.69633715118297,-170.96858372307292,-24.285136371394504,-70.206030299946562
-0.62680221428772565,-8.7557308776075011,42.941195598206555,Schweizer Pension Solderer Pension,-54.610943912796408,Mozart,Gartenhotel Altmannsdorf 2,Hotel Savoy Garni,Pension Andreas Pension,in der Fabrik Wien,7.428467829448949,33.483578089167381,79.451501377613326,-266.8862635373402,14.485248622240642,186.97822335803201,-120.96083357443173,-24.785894414329984,-57.039501972804203,-117.21145305616812,-120.27890224847441,-104.58727021875718,340.81911684438381,28.982762766493643
-21.21944919452644,-58.275922363371151,58.610708369346611,Viktoria,,Springer Schl  l,Geblergasse,K rntnerhof,Primus,,205.65106470794265,25.248582388304008,166.4194997491889,-307.06594750089852,90.087232884960045,94.292078278948736,-80.884519300416528,39.881630713038994,,-202.16165100605824,-12.16005809441662,,-7.2488617995633362,217.4109762419636
-75.500216790848384,102.5642066788583,23.078892022581815,Wiener Kindl,,Stanys,Hadrigan,Kugel,Resonanz Vienna,,116.003981727423,59.53045617254778,32.750895616494674,-160.3734524927871,74.655553219892695,1.0125565474629898,-82.97042978115887,-33.568393113215791,,17.315858331907165,-64.120043153163991,,31.533389020589066,2.6174234727292895
10.053876086859018,,-98.232114803559099,,,Star Inn Premium Wien Hauptbahnhof,Hahn,M llner,Vienna Urban Resort,,87.369350594544088,34.141130752907173,27.006274522096152,-32.212144087951856,13.459442449345644,5.7600892641140078,-96.485386631389915,,,26.555740729577835,,,31.890888395416422,-0.90618125166684305
-14.329067919397904,,-19.752234291099814,,,The Levante Laudon Aparthotel  Boardinghouse,Hillinger,Marc Aurel,Walzerstadt Pension,,109.08958909940669,25.402039169054561,30.093803276216494,-134.06748208356518,42.560912240673012,-20.622169754342725,-30.896953074096121,,,-36.089833328287583,,,-32.528495020137981,-12.48436238834641
-175.77923936013377,,,,,ibis Wien Messe,Kibi Rooms Pension,Museum,,,-7.1492446289831504,197.75535777442212,,-87.448554880385316,203.748832834024,9.8057002981069097,-142.77428048720773,,,2.5703345533265329,,,136.89628032536726,
-70.059017137662238,,,,,motel22,Korotan,Novotel Suites Wien City Donau,,,158.80271380588437,233.94038700160033,,-62.046690868824506,23.764404557672272,-8.4984684740763665,-52.657331475049688,,,50.435368820407362,,,20.987767373980603,
-55.345081839846664,,,,,,Lenas Donau,Post Wien,,,60.413433138521057,0.30740786971008083,,-80.54718425097073,143.95341187561007,,-28.156634207934442,,,,,,,
-156.55467331645738,,,,,,Lenas West,Ruby Marie Vienna,,,67.732342697935906,173.29862757966225,,-42.577512519665525,127.33747516568047,,-19.57137990379978,,,,,,,
-40.21858766489941,,,,,,Lucia,Schwalbe,,,9.3853280394487655,29.818439592551211,,-36.23321391178645,-7.2878697837351885,,-16.741105182833785,,,,,,,
-90.276574667506054,,,,,,Marien Hof,Strebersdorferhof,,,81.324156906192115,-12.759500610171488,,-86.372189373347183,30.490957595091285,,41.269812866644074,,,,,,,
-56.18405692470899,,,,,,Novum Congress Wien,Zipser,,,37.106697042818404,142.83499437485466,,-53.186139432359404,75.260895897689934,,-141.3055519009215,,,,,,,
-55.915028257094008,,,,,,Sophienalpe,Zur Wiener Staatsoper,,,131.80668198939981,44.166965938384166,,-216.3011461621945,42.555861019309148,,-140.25194924440541,,,,,,,
-23.225916764775938,,,,,,Star Inn Wien Sch nbrunn,ibis Styles Wien City,,,84.386762824747763,30.079654779006226,,-37.865046485688978,21.836281781588127,,-3.7418659703106716,,,,,,,
-93.136931255721322,,,,,,Westbahn Wien,ibis Wien City,,,44.496920931054355,-8.0726630340909349,,-14.806447000727809,123.20344055450585,,-5.3011025476759635,,,,,,,
-73.388308849205217,,,,,,ibis budget Wien Messe,ibis Wien Mariahilf,,,47.393802524458692,108.30438399151073,,-35.818627978945557,71.000752075288517,,-3.7392905185492684,,,,,,,
